pi,amnt,payment,merch
1,160,1,11
3,11.85,1,5
5,40,1,2
4,8.65,1,4
4,100,1,17
4,9,1,16
1,14,1,2
4,92.66,1,5
6,56,1,15
3,25.48,1,2
3,15.89,1,3
1,6.28,1,1
4,74.86,1,3
1,15.3,1,4
3,18.34,1,5
3,24.2,1,2
3,20.03,1,4
4,8.53,1,4
6,200,1,15
5,36.75,1,5
4,36,1,5
4,5.3,1,1
6,27,1,6
4,67,1,1
4,78.87,1,2
1,19.03,1,4
4,9,1,4
4,53.84,1,3
4,38.65,1,3
3,47.21,1,5
4,21.32,1,7
NA,340,0,NA
3,82.82,1,5
3,102.48,1,5
1,25,1,4
7,1000,1,15
3,45.61,1,1
1,10,1,3
4,26.86,1,5
3,54,1,2
1,58,1,3
3,3.29,1,4
3,20,1,1
4,8.86,1,1
3,190,1,16
5,44.35,1,1
1,8,1,4
4,12.76,1,1
4,17.54,1,4
4,35,1,20
5,12.4,1,4
1,1,1,4
3,114.07,1,5
4,23.5,1,1
1,8,1,4
NA,1100,0,NA
4,20,1,5
3,38.23,1,5
4,20,1,5
1,3,1,6
3,8.36,1,1
3,28.27,1,3
1,6,1,3
4,18.15,1,4
3,10.74,1,4
4,268.95,1,5
1,6,1,7
3,19.2,1,4
3,31.84,1,1
4,81.14,1,5
1,5,1,1
4,16.57,1,1
3,45,1,3
NA,250,0,NA
1,22,1,5
3,29.04,1,1
4,14.8,1,4
4,209,1,1
3,800,1,13
3,49.26,1,2
1,40,1,4
1,25,1,3
1,16,1,16
3,15.44,1,4
NA,0,0,NA
7,556.23,1,15
4,17.43,1,2
4,36,1,2
3,29.79,1,5
4,9.71,1,1
NA,400,0,NA
1,1000,1,16
4,5.75,1,1
4,36.04,1,1
1,3,1,7
4,5.59,1,1
1,10,1,4
1,2,1,21
3,179,1,10
4,46,1,1
1,40,1,17
1,3,1,5
4,21.91,1,18
1,15,1,2
4,12.76,1,2
4,29.99,1,5
4,121.34,1,5
3,5,1,4
4,7,1,1
4,14.65,1,1
1,12.49,1,3
4,68,1,5
2,35,1,18
3,2.84,1,5
1,3.69,1,1
3,2.19,1,1
1,4,1,1
4,50.58,1,1
7,294,1,8
1,5,1,6
3,40,1,1
6,35,1,16
3,10,1,4
4,45.45,1,1
1,21,1,3
4,3.9,1,18
4,6.98,1,2
3,8.66,1,5
3,15.99,1,4
1,1,1,16
3,52.66,1,1
3,21.25,1,2
5,5.94,1,4
3,10,1,4
4,85,1,18
1,10,1,16
3,2.75,1,21
3,42.23,1,1
4,23.75,1,1
3,56.35,1,1
3,118.16,1,1
4,52,1,1
4,2.75,1,1
6,50,1,16
3,27.78,1,4
4,9.85,1,4
4,33.08,1,4
4,2.06,1,4
NA,875,0,NA
1,11,1,1
NA,20,0,NA
4,63.78,1,1
3,54,1,5
4,56.88,1,1
4,10.49,1,3
1,7,1,4
4,1.7,1,1
3,37,1,2
3,27.93,1,5
3,53.34,1,8
4,30.57,1,5
3,35.15,1,1
4,6,1,4
1,20,1,2
1,125,1,10
NA,75,0,NA
4,31.45,1,1
4,20,1,1
4,3.99,1,1
4,50,1,2
4,6.85,1,4
3,4.99,1,17
4,30,1,2
1,12.87,1,5
7,4717.58,1,15
1,30,1,4
4,7.47,1,1
6,50,1,16
4,86.45,1,5
NA,7,0,NA
1,21,1,4
1,5.98,1,5
3,163.49,1,5
1,89.9,1,1
1,30,1,16
4,8.99,1,1
1,5,1,6
4,134.64,1,1
4,11.04,1,5
5,144.5,1,1
4,5,1,1
4,40.91,1,5
3,37.83,1,1
1,60,1,4
3,24.26,1,2
3,22.85,1,1
4,69.12,1,5
3,64.31,1,5
4,60.63,1,2
5,23.6,1,5
3,40.17,1,4
1,19,1,4
3,167.29,1,5
3,54.45,1,5
3,29,1,3
1,2,1,21
3,53.76,1,3
4,30,1,7
1,40,1,4
3,335,1,5
1,2.52,1,1
3,37,1,1
3,150,1,5
NA,700,0,NA
4,32.95,1,4
NA,175,0,NA
3,49.57,1,2
13,185,1,18
3,4.68,1,2
11,150,1,16
NA,40,0,NA
4,67.64,1,1
3,79.67,1,5
1,20,1,16
NA,16.34,1,5
4,13.98,1,1
4,46,1,1
5,39.3,1,3
3,83.62,1,5
4,29,1,3
4,138,1,1
3,44.01,1,3
6,125.89,1,15
4,65,1,3
3,132,1,3
4,80,1,2
1,7.5,1,1
1,26,1,1
3,45.09,1,1
4,16.03,1,1
3,26,1,2
1,7.65,1,19
1,3,1,7
3,21.47,1,4
NA,100,0,NA
4,50,1,1
3,47.94,1,1
3,8.62,1,1
3,14.27,1,4
1,40,1,1
4,28,1,3
3,11.32,1,1
3,98.62,1,15
1,46,1,4
1,1,1,5
3,76,1,5
4,83,1,3
4,28.62,1,3
4,14,1,2
3,38,1,12
6,2094,1,15
3,191.48,1,18
NA,503,0,NA
10,40,1,16
3,111.76,1,3
1,30,1,3
5,3.06,1,2
3,76.44,1,5
3,13.83,1,5
3,153.3,1,5
3,217.34,1,5
3,112.28,1,10
1,9,1,4
NA,50,0,NA
3,575.99,1,5
10,1.99,1,10
3,34.3,1,4
3,202,1,5
3,36.31,1,5
4,3.56,1,4
6,186,1,15
4,163,1,15
4,299.17,1,10
1,22,1,2
4,20,1,1
7,39.45,1,15
3,174.21,1,1
1,44.81,1,1
3,397,1,15
4,234,1,6
6,295.13,1,15
6,4619.75,1,15
6,1025,1,14
7,156.26,1,8
7,74.232,1,15
7,354,1,14
6,850,1,15
7,30.42,1,8
7,50,1,8
6,16.54,1,10
6,1492,1,15
1,10,1,12
1,160,1,16
6,60,1,16
3,9.99,1,10
6,206.78,1,8
5,30.34,1,1
1,14,1,16
2,1571,1,15
4,400,1,10
1,5,1,2
2,22.49,1,8
7,68.64,1,8
6,162,1,16
7,40,1,15
1,77.26,1,5
6,225,1,16
6,4,1,10
6,3514.41,1,15
7,50,1,8
4,5,1,17
2,23,1,7
2,38.39,1,18
7,25,1,17
7,33,1,8
7,130,1,8
7,135,1,15
7,110,1,15
7,100,1,15
7,150,1,15
7,130,1,15
1,30,1,16
3,488.32,1,11
3,75,1,20
6,25,1,17
3,21.31,1,10
7,10000,1,15
7,55,1,15
7,128,1,8
3,67.8,1,9
3,194,1,9
3,52.92,1,18
14,627.86,1,15
14,348.88,1,15
2,300,1,19
3,100,1,1
6,100,1,5
4,22.65,1,2
4,8,1,4
4,11.4,1,5
7,166.89,1,15
4,12.17,1,1
3,3,1,7
4,15.78,1,4
4,1,1,5
3,147.8,1,8
13,25,1,9
7,179,1,15
3,35.53,1,2
1,20,1,1
6,134.82,1,10
6,40,1,17
4,16.77,1,2
11,150,1,15
7,267,1,8
NA,40,0,NA
3,0.76,1,2
1,20,1,1
1,10,1,21
1,2,1,6
1,20,1,16
1,8,1,16
5,9.6,1,21
4,7,1,6
NA,20,0,NA
1,18.45,1,5
4,55,1,18
6,28.91,1,8
7,182,1,8
2,200,1,15
7,535.74,1,15
6,2055.06,1,15
3,98.15,1,13
7,182,1,8
7,535.74,1,15
2,200,1,15
6,741,1,15
7,1000,1,15
2,300,1,17
6,2000,1,15
4,6.91,1,1
4,15.41,1,1
4,22,1,2
3,9.36,1,4
6,64.79,1,10
3,2.75,1,21
3,39.04,1,5
3,35.94,1,9
1,60,1,16
2,160,1,16
1,50,1,17
NA,190,0,NA
6,50,1,15
3,37.02,1,1
3,108.73,1,1
3,94.94,1,5
3,14.46,1,4
1,4,1,1
4,7,1,1
3,39.1,1,8
7,293.85,1,15
7,185.73,1,15
6,139.81,1,8
3,13.75,1,5
4,15,1,1
2,35,1,18
0,1.05,1,10
3,46,1,2
4,2.75,1,21
3,24.45,1,5
4,30,1,5
NA,100,0,NA
3,13.24,1,5
3,13.56,1,4
3,40,1,18
3,20,1,18
2,54.71,1,1
7,35.02,1,8
3,151.98,1,10
3,212.06,1,10
3,4.36,1,5
3,56.61,1,18
3,41.11,1,5
2,635,1,2
3,7.53,1,4
1,2.5,1,21
13,9,1,19
3,3,1,4
2,256.75,1,5
6,11,1,1
3,5.22,1,5
3,18.04,1,1
4,29.55,1,1
3,42.12,1,5
6,24.48,1,5
5,11.53,1,2
1,5,1,3
3,129.95,1,7
6,20,1,17
6,314.63,1,8
4,2.84,1,2
5,17.77,1,1
3,75.81,1,1
5,3.25,1,4
13,11,1,4
3,13.45,1,1
5,11.93,1,1
2,3676,1,11
5,10.24,1,4
2,100,1,16
2,41,1,6
1,45,1,5
3,5.7,1,21
3,11124,1,5
2,100,1,17
3,70.15,1,5
3,0.95,1,1
7,80,1,6
3,25.5,1,2
3,295,1,1
4,17,1,19
NA,10,0,NA
3,32.53,1,1
3,0.54,1,5
1,20,1,16
2,787.04,1,8
4,27.6,1,1
3,11.15,1,1
4,78.93,1,10
4,70,1,18
2,99,1,18
NA,220,0,NA
3,30.7,1,1
3,10.95,1,9
13,7.56,1,3
1,7,1,5
NA,100,0,NA
3,30.31,1,5
3,14.59,1,5
6,435.58,1,15
3,11.67,1,4
4,5.39,1,1
4,11.48,1,4
3,194.56,1,1
3,37.37,1,1
1,2,1,16
3,85,1,1
1,7,1,4
1,9.5,1,4
3,94.34,1,5
7,455.92,1,8
4,13.2,1,4
1,20,1,6
1,5.68,1,1
NA,200,0,NA
3,331.29,1,5
3,14.99,1,5
4,14.87,1,2
4,8.11,1,4
1,10.5,1,1
4,13.91,1,1
NA,20,0,NA
7,350,1,15
NA,40,0,NA
4,26.29,1,1
3,110.03,1,5
4,850,1,5
3,31.64,1,5
3,33.02,1,5
3,14.08,1,5
3,290.67,1,8
3,8.78,1,4
3,196.12,1,1
1,6,1,3
1,5,1,16
3,20,1,4
4,14,1,4
3,27.06,1,1
4,5.25,1,4
3,9.77,1,4
4,15.24,1,1
1,2.16,1,4
3,14.53,1,1
3,4.33,1,5
4,70,1,18
6,38,1,17
3,71.05,1,5
3,60,1,1
3,19.05,1,5
3,24.66,1,5
1,1.25,1,16
NA,54,0,NA
4,20.89,1,5
3,95.23,1,5
4,76.37,1,15
4,18,1,2
1,3.28,1,1
3,37.37,1,1
1,0.75,1,21
3,32.76,1,1
10,15,1,4
3,10.5,1,1
4,30,1,2
3,13.89,1,1
4,9,1,6
3,67.81,1,2
2,30,1,19
4,25.2,1,6
1,4,1,6
3,29,1,1
3,43.33,1,5
3,9.81,1,4
3,9460.21,1,5
7,452,1,15
6,147.06,1,10
5,7.66,1,4
3,417.4,1,13
1,50,1,16
1,10,1,2
1,9,1,19
3,35.47,1,3
4,4,1,5
4,30.25,1,1
3,25,1,2
1,5,1,7
4,25,1,4
3,42,1,3
NA,20,0,NA
4,2.14,1,4
3,8.11,1,4
4,12.54,1,1
3,12.6,1,2
3,0.76,1,2
4,79,1,1
3,50,1,2
3,100,1,10
1,20,1,16
3,64.85,1,1
3,100,1,6
1,25,1,6
3,109.51,1,1
6,217.2,1,8
3,109.51,1,1
4,33.22,1,1
6,185,1,5
4,12.75,1,5
3,31.02,1,5
7,82,1,8
3,69.87,1,1
4,56.43,1,1
3,288,1,5
5,27,1,5
3,9.76,1,2
1,20,1,1
4,22.12,1,4
3,85.15,1,5
3,18.72,1,1
4,10,1,2
3,1074.56,1,2
3,17.41,1,5
4,2.26,1,1
3,41.3,1,5
3,19.3,1,1
4,36.9,1,1
3,7.01,1,3
5,13.91,1,5
4,24.59,1,1
8,123,1,15
3,20,1,7
3,5.5,1,4
4,28,1,4
2,132.42,1,10
3,13.99,1,4
1,40,1,3
3,62.36,1,5
4,350,1,1
3,13.99,1,1
1,4,1,5
4,100,1,3
4,3.96,1,5
4,58,1,5
4,31,1,5
3,15,1,18
6,45,1,16
4,18.02,1,5
3,28.19,1,4
4,210,1,8
3,29,1,4
2,12,1,18
1,15,1,1
3,18,1,1
3,422.6,1,5
4,26,1,2
4,2.75,1,21
3,27.5,1,12
1,4,1,4
4,45,1,18
1,220,1,12
1,10,1,6
4,15.32,1,1
3,2.75,1,21
NA,100,0,NA
3,32,1,1
1,14.2,1,5
4,15.94,1,3
3,60.57,1,18
4,41,1,2
4,12.04,1,5
3,159.67,1,5
3,105.35,1,1
4,39,1,1
2,22500,1,5
6,218,1,10
5,9.76,1,1
6,300,1,16
6,3982,1,15
4,13,1,2
4,1423,1,18
1,25,1,6
1,23.98,1,5
3,21.44,1,5
6,45,1,15
6,22.25,1,16
3,10.51,1,4
4,31.8,1,4
4,16.87,1,1
1,1,1,4
4,2.5,1,4
2,125,1,5
6,200,1,16
6,125,1,6
4,13.97,1,1
4,52.51,1,16
3,295,1,9
NA,40,0,NA
4,68.85,1,5
4,40.02,1,1
4,237.36,1,1
1,1,1,12
3,159.91,1,2
4,9.57,1,1
3,27.01,1,1
3,33,1,5
3,11.02,1,18
3,23.04,1,2
3,60.87,1,2
1,24,1,4
2,13013,1,11
6,120,1,15
6,300,1,15
10,55,1,6
3,9.09,1,1
4,16.47,1,4
3,4,1,1
NA,52,1,1
3,200,1,11
4,11.34,1,5
4,60,1,2
1,25,1,16
3,35.75,1,3
1,3.5,1,1
5,1.7,1,21
1,2,1,21
3,12.47,1,1
4,9.98,1,5
3,63.56,1,1
5,12.95,1,4
3,16.03,1,5
4,55,1,5
4,13.97,1,1
1,44,1,3
3,40,1,21
3,3,1,21
4,13.78,1,1
3,5.9,1,5
3,25,1,3
4,50,1,2
3,6.62,1,5
4,20,1,3
7,1107.48,1,15
1,20,1,3
1,22,1,3
6,58,1,6
4,48.64,1,4
4,12.98,1,2
1,80,1,16
3,8,1,4
NA,100,0,NA
4,30,1,4
1,25,1,4
1,7,1,3
3,3.54,1,1
1,2.5,1,21
4,9.99,1,10
3,8.99,1,1
4,26,1,2
4,3.87,1,4
1,25,1,7
4,45.42,1,1
2,107,1,11
0,25.67,1,1
1,20,1,16
1,10,1,2
4,29.18,1,4
7,59.99,1,6
1,3,1,1
1,11,1,2
1,13.64,1,4
3,56.01,1,2
3,24.81,1,4
3,27.76,1,9
1,3,1,17
4,32.26,1,3
4,29,1,6
3,55,1,3
3,14.1,1,1
4,11.57,1,1
7,152.5,1,11
3,117.05,1,2
1,6.17,1,5
3,30.77,1,3
3,7.9,1,4
3,18.03,1,3
3,9.98,1,4
NA,60,0,NA
5,3.99,1,4
7,89.75,1,15
3,9.87,1,4
1,6,1,1
6,25,1,16
7,185.24,1,10
3,38.48,1,4
6,200,1,16
3,122.4,1,3
4,19.07,1,3
1,8.21,1,4
7,50,1,15
3,50,1,20
7,124.3,1,8
4,58.03,1,5
3,37.1,1,5
4,13.6,1,1
6,17.7,1,15
3,315.08,1,5
1,24,1,3
4,113,1,10
3,41.17,1,3
1,7,1,3
NA,20,0,NA
4,88.77,1,10
3,318.45,1,5
13,21.2,1,7
4,8.2,1,4
3,1.75,1,5
3,75.53,1,5
3,165,1,9
4,24,1,7
5,1.7,1,21
3,42,1,5
3,31.44,1,2
6,222.09,1,8
2,120,1,11
4,21.99,1,17
3,43.57,1,3
6,11.55,1,17
3,79.61,1,9
3,150,1,10
1,50,1,16
4,3,1,1
4,62.6,1,8
4,12.38,1,4
4,300,1,15
1,25,1,4
1,7.02,1,4
4,43.89,1,10
4,50,1,5
4,39.31,1,1
1,20,1,16
6,450,1,15
3,799,1,5
1,77.66,1,5
4,37.84,1,15
4,25.63,1,10
4,234.5,1,6
2,65,1,16
6,133.68,1,8
6,217.62,1,10
5,20,1,1
7,182.87,1,8
7,904.2,1,15
3,17.67,1,10
3,107.03,1,10
7,196,1,8
6,110,1,15
2,93,1,10
4,1,1,1
4,22,1,3
4,16,1,5
4,5,1,4
1,10.09,1,4
7,178,1,15
3,7.99,1,10
3,60.53,1,10
3,15.99,1,10
1,14,1,3
7,11.06,1,8
7,234,1,1
7,800,1,14
7,100,1,2
1,20,1,16
6,50,1,15
7,298.96,1,15
7,4296.72,1,15
7,117,1,15
1,7.5,1,1
2,80,1,11
7,25,1,15
3,56.43,1,5
3,28.32,1,1
3,55.6,1,5
3,44.49,1,10
7,15,1,18
7,400,1,15
1,10,1,5
6,182.92,1,10
6,107,1,15
4,7.17,1,4
2,115.69,1,15
1,10,1,7
3,7.98,1,7
6,278.72,1,18
6,93.69,1,8
7,87,1,15
6,40,1,15
13,5,1,1
3,54.81,1,1
NA,1288,0,NA
NA,600,0,NA
4,32.07,1,4
6,229.01,1,15
3,6.5,1,20
NA,1500,0,NA
NA,20,0,NA
1,10,1,16
5,1.35,1,21
1,1.5,1,4
4,43.98,1,5
3,49.16,1,5
6,196.48,1,8
NA,16,0,NA
3,86.84,1,2
4,13.96,1,1
4,2.94,1,4
1,17,1,4
5,3.14,1,1
3,0.76,1,2
NA,200,0,NA
1,20,1,16
4,5,1,4
1,1.65,1,4
7,25,1,4
3,15.2,1,2
3,44.64,1,5
1,4.62,1,4
1,15,1,4
1,15,1,3
6,15,1,15
4,5,1,4
4,9.21,1,4
3,31.19,1,5
4,77.25,1,1
1,3.1,1,4
6,7.5,1,4
4,30,1,2
4,2,1,5
3,2737,1,6
4,7,1,6
3,37,1,1
3,24.22,1,1
1,1.1,1,1
3,3.49,1,20
1,60,1,2
NA,10,0,NA
7,185,1,10
4,70,1,10
NA,25,0,NA
1,6,1,4
6,89,1,18
7,13,1,15
7,1000,1,15
6,741,1,15
6,699.6,1,15
7,533.27,1,8
2,250,1,12
4,6.91,1,1
3,30.72,1,1
2,54.43,1,8
4,88.65,1,2
2,254.83,1,15
6,35,1,15
6,154.84,1,15
3,15.85,1,5
1,8,1,7
3,100,1,1
3,30.78,1,5
3,25,1,5
0,133,1,10
7,1169.78,1,15
3,5.57,1,1
NA,1047,0,NA
NA,90,0,NA
7,350,1,15
7,1472.98,1,15
3,31.63,1,5
1,30,1,16
4,7,1,1
6,47.74,1,15
3,5.32,1,1
4,90.2,1,1
1,1.5,1,1
3,166.63,1,5
3,5.5,1,4
3,9.9,1,6
1,2,1,18
4,136,1,1
1,20,1,2
3,79.85,1,2
3,9.76,1,1
6,142.3,1,10
1,20,1,2
4,25,1,18
1,20,1,5
1,4.34,1,1
3,1.5,1,4
3,10.37,1,4
5,17.32,1,4
3,80.32,1,1
3,11.24,1,1
4,25,1,18
13,126.96,1,8
6,377.17,1,15
3,79.42,1,5
3,4.7,1,5
3,1000,1,16
NA,130,0,NA
3,25,1,18
4,2.11,1,5
5,1.35,1,21
7,151.3,1,15
7,63.31,1,10
7,595.76,1,15
3,30.17,1,5
1,45,1,2
1,4.11,1,5
4,18,1,3
3,603.3,1,7
4,73.04,1,6
3,32.3,1,2
1,10,1,16
1,10.97,1,1
2,52,1,12
3,73.5,1,7
3,26.32,1,5
3,39,1,2
2,958.74,1,15
4,57.94,1,2
4,23.65,1,4
4,22.18,1,2
2,160,1,7
2,170,1,11
1,5,1,16
4,2.86,1,2
6,45,1,20
4,8,1,7
4,12,1,5
2,762,1,11
3,61.09,1,5
3,3.33,1,4
1,14,1,1
1,5,1,6
1,3.47,1,1
NA,1809,0,NA
6,650,1,20
6,198.94,1,15
2,284.56,1,2
4,46.89,1,5
4,8.5,1,4
4,38.91,1,5
NA,5,0,NA
2,183.83,1,10
3,62.12,1,1
1,15,1,2
3,70.41,1,1
4,22.12,1,4
NA,900,0,NA
NA,900,0,NA
3,6.18,1,1
3,29.86,1,3
6,1.25,1,21
4,2.86,1,5
1,5,1,1
1,12,1,4
3,10,1,3
3,250,1,7
4,10.93,1,1
1,20,1,18
3,14.99,1,7
3,13,1,1
3,35,1,1
1,46,1,1
3,9.99,1,9
3,17,1,6
2,69.52,1,10
3,28.12,1,3
3,8.25,1,4
4,211.53,1,10
3,16,1,15
6,371.48,1,15
7,105.77,1,12
3,9,1,4
4,253,1,10
4,5.16,1,3
6,190.62,1,15
4,52.02,1,1
1,24.38,1,4
1,39.88,1,1
3,5.23,1,4
NA,150,0,NA
2,60,1,6
7,100,1,15
NA,300,0,NA
4,8.76,1,4
NA,1288,0,NA
4,18.77,1,1
6,2.04,1,15
3,23,1,1
6,24.78,1,8
6,111.99,1,15
1,16.53,1,4
4,6.4,1,1
5,1.5,1,5
3,13.2,1,4
3,42,1,2
1,4,1,5
1,150,1,16
1,18,1,4
3,17.73,1,3
3,17.73,1,3
3,6.05,1,4
3,35.92,1,3
NA,1,0,NA
3,215.41,1,6
3,12.9,1,12
5,30,1,8
2,623.7,1,19
4,16.78,1,5
3,16.99,1,16
11,1000,1,15
6,109,1,15
4,12.75,1,12
5,100,1,15
3,15,1,4
4,240,1,1
3,86.35,1,1
1,14,1,1
1,10,1,6
3,7.59,1,4
2,4525,1,11
3,353.44,1,10
4,4.98,1,5
6,489,1,17
4,70,1,8
3,1.41,1,4
1,8.55,1,4
4,33.45,1,1
1,6,1,16
4,42.38,1,1
4,138,1,12
3,214.73,1,1
1,2.29,1,2
NA,5,0,NA
4,224,1,19
4,18.08,1,2
4,15.37,1,1
4,24.23,1,5
4,11.24,1,4
3,6.88,1,4
3,37.8,1,5
1,10.02,1,4
3,53,1,1
4,12.7,1,4
4,36.71,1,1
1,6,1,7
10,10,1,4
3,43.98,1,2
3,111.45,1,5
3,13.22,1,5
NA,3.58,0,NA
1,5,1,1
3,80.56,1,5
4,12.07,1,4
4,5.83,1,5
1,3.58,1,5
4,57.77,1,1
6,31.46,1,1
13,65.78,1,1
4,18.28,1,1
4,15,1,3
4,68.79,1,8
3,6.67,1,5
3,123.75,1,5
3,268,1,18
3,86.34,1,5
4,35.63,1,8
1,6,1,4
3,54,1,3
NA,200,0,NA
3,5.97,1,4
3,15.5,1,5
4,13.54,1,1
4,118.53,1,5
3,1.25,1,4
3,186.81,1,5
3,1.15,1,1
3,2.35,1,1
3,46.19,1,5
3,2.75,1,21
1,11.65,1,1
3,19.26,1,1
3,2.29,1,1
3,29.81,1,5
1,37.5,1,5
2,35,1,18
1,3,1,1
4,3.35,1,1
4,44.66,1,5
3,0.76,1,2
4,5,1,7
3,1800,1,11
3,58.36,1,1
6,800,1,15
1,6.5,1,5
4,54.17,1,2
3,20.43,1,5
NA,120,0,NA
3,59.04,1,2
1,2,1,5
3,40,1,2
6,583.08,1,15
4,10.6,1,1
3,10.69,1,1
3,69.08,1,2
3,31.71,1,5
1,3,1,4
5,7.49,1,1
4,85,1,18
1,13.76,1,6
1,8.76,1,5
3,21.17,1,2
NA,2,1,21
4,80.35,1,5
4,40.64,1,1
1,43.98,1,1
5,46.55,1,1
4,65.43,1,6
4,367.19,1,18
2,312.32,1,14
2,72.35,1,8
1,10,1,20
1,5,1,1
5,32,1,1
1,15,1,4
7,427.01,1,15
3,63.8,1,5
11,100,1,16
3,94,1,5
13,15.23,1,4
1,900,1,4
1,20,1,7
4,20.03,1,1
3,195,1,12
0,32.12,1,1
4,72.34,1,1
1,34.19,1,5
4,125,1,18
3,9585.97,1,6
5,4.75,1,5
3,5.74,1,4
4,53.68,1,1
1,5,1,1
4,75,1,12
2,600,1,14
4,57.61,1,2
3,1.25,1,21
3,3.21,1,4
3,37.26,1,2
0,43.58,1,5
13,15,1,2
5,7.67,1,5
3,46.15,1,5
3,8.74,1,1
4,40.91,1,1
4,10.61,1,3
3,60.86,1,1
3,46.82,1,3
1,4,1,6
6,520.77,1,15
1,5,1,17
4,40,1,2
3,35.5,1,4
3,34.59,1,2
4,56.77,1,1
4,37.1,1,1
3,25.97,1,4
7,39,1,17
4,47.89,1,4
3,49.31,1,5
3,85.36,1,3
4,20.5,1,5
5,4,1,1
3,289.96,1,5
5,30,1,4
1,8,1,4
7,20.56,1,8
3,10.19,1,4
4,24.95,1,1
4,21.54,1,5
1,9.13,1,3
3,22.98,1,4
3,8,1,4
3,30,1,1
3,12.67,1,4
3,8.76,1,1
3,15.96,1,18
3,25,1,2
4,4.59,1,1
1,12.67,1,4
4,21.12,1,3
6,123.76,1,8
4,25,1,1
4,139.2,1,1
1,63.78,1,1
3,33.86,1,1
4,10,1,1
3,23.76,1,4
13,52,1,1
NA,60,0,NA
3,25.01,1,3
3,108.79,1,1
4,23.78,1,5
3,76.18,1,5
4,485,1,17
13,36,1,21
3,125.07,1,3
1,8,1,4
1,20,1,2
13,6.25,1,4
3,68,1,5
1,65,1,3
4,300,1,15
4,24,1,4
13,0.5,1,21
3,35.67,1,3
4,62.78,1,1
3,2.54,1,1
1,12,1,3
4,23.58,1,4
3,49.36,1,3
4,23.17,1,4
3,33.37,1,1
4,30,1,2
NA,200,0,NA
3,170,1,5
7,639.01,1,15
13,11.49,1,5
1,15.48,1,1
3,15.88,1,4
4,19.26,1,4
4,28.19,1,3
3,55,1,2
1,27,1,4
0,236.73,1,1
NA,100,0,NA
NA,125,0,NA
NA,135,0,NA
6,35.05,1,8
7,24.81,1,8
5,1.35,1,21
3,37,1,3
6,2000,1,15
3,3.49,1,19
1,34.25,1,1
NA,100,0,NA
3,79.99,1,5
6,58.78,1,8
4,52,1,3
3,38.11,1,16
3,89.95,1,5
6,20,1,8
4,41,1,3
10,18,1,5
3,9.25,1,4
3,8,1,4
3,7,1,1
7,69.71,1,14
7,235.41,1,14
3,2.99,1,5
3,5.72,1,1
6,28,1,15
4,23,1,5
3,22,1,7
NA,142.3,0,NA
4,417.5,1,18
NA,450,0,NA
6,24,1,15
3,171.18,1,5
3,46.36,1,5
2,1040,1,16
4,399,1,15
7,24.4,1,8
2,62,1,8
3,220,1,6
7,1549,1,15
7,61.29,1,8
6,35.88,1,15
7,1558,1,15
2,239.83,1,8
6,5.34,1,5
4,36,1,12
3,60,1,1
4,36,1,19
3,87.44,1,5
7,75,1,15
7,1063,1,15
3,57.5,1,7
3,68.92,1,5
3,123.49,1,15
3,29.61,1,10
13,16.69,1,9
4,50,1,1
NA,7,0,NA
2,958.74,1,15
4,55,1,5
4,58.23,1,2
7,300,1,8
1,3,1,12
7,72,1,8
3,73.65,1,1
1,20,1,1
2,158,1,18
4,30,1,8
4,66.32,1,4
14,8.84,1,10
7,2929.52,1,15
7,11.05,1,15
4,15,1,1
1,20,1,16
3,141.16,1,5
1,27,1,3
1,10.24,1,1
4,8,1,5
4,33,1,1
1,40,1,20
4,21.95,1,1
4,44.97,1,5
4,123.5,1,1
4,192.61,1,8
3,179,1,18
3,30.06,1,2
4,49.45,1,10
3,28.27,1,10
3,58.79,1,1
3,66.46,1,3
3,8.71,1,4
4,10.49,1,4
4,24.79,1,5
4,63.61,1,5
3,39.5,1,3
1,7.42,1,4
3,14.92,1,5
3,23.47,1,2
1,53.67,1,5
3,167.78,1,1
1,5,1,4
NA,30,0,NA
2,176.29,1,19
4,10,1,4
4,20.34,1,14
4,279.45,1,14
3,4.36,1,5
6,1605,1,15
5,30,1,1
4,5,1,4
4,16.01,1,1
4,4.99,1,1
7,20,1,5
3,58.62,1,1
3,65.67,1,2
4,1,1,1
3,33.21,1,3
7,63,1,8
4,25,1,7
4,18.62,1,1
1,17.15,1,2
3,0.76,1,2
11,16.8,1,15
4,25,1,2
3,1.65,1,4
1,3,1,20
4,23.99,1,1
4,5.21,1,4
3,47.56,1,1
NA,6,0,NA
3,4.64,1,4
4,6.39,1,4
10,6.75,1,21
7,34.85,1,8
4,5,1,4
1,2.29,1,1
4,12.53,1,2
4,40.26,1,5
4,34.36,1,2
4,19.2,1,1
7,2504.35,1,15
3,124.61,1,7
3,34.54,1,1
3,20.68,1,5
3,22.15,1,5
3,36.87,1,6
3,40,1,2
NA,100,0,NA
5,28.77,1,1
5,3.5,1,21
4,30,1,21
6,200.9,1,8
2,64,1,14
2,31.25,1,12
11,3543.77,1,15
3,30.92,1,18
1,55,1,10
NA,190,0,NA
3,51.26,1,2
3,69.85,1,8
NA,50,0,NA
3,4.24,1,5
NA,20,0,NA
4,6.3,1,4
1,16,1,3
2,177.23,1,8
1,16,1,4
1,7.02,1,1
4,13.75,1,4
4,65,1,1
NA,100,0,NA
1,9.01,1,5
NA,16,0,NA
3,141.13,1,5
3,1.5,1,5
2,70,1,8
