pi,amnt,payment,merch
3,16.11,1,2
3,22.34,1,3
2,20,1,17
1,15,1,1
0,511.41,1,1
3,22.98,1,5
4,17.66,1,4
4,41.11,1,2
1,30,1,5
6,110,1,15
1,7,1,4
4,23.63,1,5
13,15.49,1,10
1,6,1,1
3,184.38,1,5
10,14,1,16
3,64,1,3
1,10,1,16
NA,10,0,NA
3,2.61,1,4
3,26.45,1,5
2,2500,1,16
6,920,1,17
2,1000,1,15
6,1304.84,1,15
6,1306,1,15
1,30,1,1
3,15,1,6
3,83.56,1,5
6,6.27,1,4
5,42.33,1,1
3,55.96,1,1
3,75.46,1,5
1,7.6,1,5
7,1500,1,15
3,19.35,1,4
3,80,1,1
7,750,1,15
3,16.36,1,5
3,5.28,1,5
1,5,1,16
3,6.5,1,4
4,24.44,1,5
1,9,1,4
3,33.92,1,3
4,10.62,1,5
7,46.8,1,10
3,8.5,1,3
3,5.28,1,5
3,74.33,1,1
3,26.99,1,5
1,2.7,1,4
3,39,1,1
6,18.92,1,15
1,5,1,7
1,20,1,16
4,26,1,3
1,5,1,4
4,2,1,17
4,190,1,5
4,10.69,1,10
4,24.88,1,1
1,5.01,1,5
4,31,1,12
1,20,1,4
3,72.92,1,6
6,30,1,2
3,89.48,1,1
3,44.56,1,2
4,7.99,1,1
1,12.94,1,5
3,11.66,1,5
3,54.98,1,5
4,5.99,1,1
3,83.51,1,5
4,12.5,1,4
4,15.63,1,4
2,140,1,6
4,23.43,1,5
4,26,1,1
4,14.03,1,2
3,913.92,1,3
3,77.85,1,3
4,15.35,1,3
5,40.81,1,1
3,14.38,1,1
3,36.58,1,2
5,20.86,1,3
3,18.65,1,5
3,53.46,1,1
3,4.76,1,2
3,92.82,1,13
3,8.77,1,2
3,678,1,18
3,12.67,1,2
5,49.99,1,1
3,58.14,1,1
3,19.92,1,1
2,1679,1,11
4,30.86,1,5
3,128.27,1,1
NA,25,0,NA
6,39.01,1,10
1,100,1,16
NA,100,0,NA
3,17.84,1,2
NA,40,0,NA
NA,400,0,NA
1,13,1,4
3,32,1,5
7,191,1,15
6,133.43,1,8
11,26.25,1,15
4,827.55,1,15
7,27.26,1,8
6,1002.18,1,15
6,364.89,1,10
6,224.32,1,15
1,5,1,1
3,50,1,3
3,792.07,1,13
6,1210,1,15
1,50,1,1
1,350,1,21
2,35,1,17
1,5.26,1,5
4,235,1,10
3,432,1,18
3,30.14,1,2
13,9.53,1,4
4,49.99,1,5
4,17,1,4
3,24.34,1,3
3,11.86,1,5
4,36.55,1,4
3,793.11,1,3
1,10,1,16
3,1.25,1,21
6,24,1,16
3,6.84,1,1
